"","Rho","N","P","P0","Rsq","Sure Screening Probability (Air-HOLP)","Sure Screening Probability (Ridge-HOLP)","Sure Screening Probability (SIS)","r"
"281",0,500,1250,15,0.25,0.062,0.03,0.062,668.43348301179
"282",0.3,500,1250,15,0.25,0.034,0.006,0.008,663.936659640679
"283",0.6,500,1250,15,0.25,0.014,0.006,0.006,641.450820840169
"284",0.9,500,1250,15,0.25,0.004,0,0,605.253935908532
"285",0,1000,1250,15,0.25,0.484,0.052,0.466,646.604919470147
"286",0.3,1000,1250,15,0.25,0.384,0.064,0.134,636.545541752083
"287",0.6,1000,1250,15,0.25,0.23,0.014,0.044,606.54784214037
"288",0.9,1000,1250,15,0.25,0.022,0.008,0.012,590.780843283734
"289",0,125,5000,15,0.25,0,0,0,1785.31684496396
"290",0.3,125,5000,15,0.25,0,0,0,1763.31383304387
"291",0.6,125,5000,15,0.25,0,0,0,1643.0650281006
"292",0.9,125,5000,15,0.25,0,0,0,1530.94932928565
"293",0,250,5000,15,0.25,0,0,0,2194.24924793184
"294",0.3,250,5000,15,0.25,0,0,0,2140.03589472721
"295",0.6,250,5000,15,0.25,0,0,0,2063.5870104645
"296",0.9,250,5000,15,0.25,0,0,0,1916.73265116273
"297",0,500,5000,15,0.25,0.004,0.002,0.006,2516.21236658206
"298",0.3,500,5000,15,0.25,0.002,0.002,0,2495.24192244304
"299",0.6,500,5000,15,0.25,0.002,0.002,0.002,2446.75359762712
"300",0.9,500,5000,15,0.25,0,0,0,2289.18789765323
"301",0,1000,5000,15,0.25,0.236,0.194,0.224,2713.7900682798
"302",0.3,1000,5000,15,0.25,0.126,0.088,0.05,2729.22000297603
"303",0.6,1000,5000,15,0.25,0.054,0.048,0.016,2698.19276437845
"304",0.9,1000,5000,15,0.25,0.016,0.014,0.02,2545.00090889963
"305",0,125,15000,15,0.25,0,0,0,4616.35220373253
"306",0.3,125,15000,15,0.25,0,0,0,4420.81726194878
"307",0.6,125,15000,15,0.25,0,0,0,4186.46128871372
"308",0.9,125,15000,15,0.25,0,0,0,3888.00156728242
"309",0,250,15000,15,0.25,0,0,0,5638.96587275217
"310",0.3,250,15000,15,0.25,0,0,0,5575.11605460022
"311",0.6,250,15000,15,0.25,0,0,0,5304.67074354983
"312",0.9,250,15000,15,0.25,0,0,0,4895.35949086886
"313",0,500,15000,15,0.25,0,0,0.006,6611.8347744165
"314",0.3,500,15000,15,0.25,0,0,0,6583.77784299447
"315",0.6,500,15000,15,0.25,0,0,0,6421.40346846166
"316",0.9,500,15000,15,0.25,0,0,0,6008.06434014345
"317",0,1000,15000,15,0.25,0.102,0.092,0.096,7491.55474665707
"318",0.3,1000,15000,15,0.25,0.07,0.068,0.024,7464.92451481012
"319",0.6,1000,15000,15,0.25,0.014,0.014,0.004,7404.68646615849
"320",0.9,1000,15000,15,0.25,0.004,0.004,0.004,6942.3883185353
"321",0,125,250,3,0.5,0.97,0.922,0.964,73.4514030239501
"322",0.3,125,250,3,0.5,0.956,0.928,0.94,72.6593643689038
"323",0.6,125,250,3,0.5,0.872,0.822,0.822,70.8487160749174
"324",0.9,125,250,3,0.5,0.514,0.524,0.608,90.8742177335213
"325",0,250,250,3,0.5,0.996,0.98,0.998,66.9405238727683
"326",0.3,250,250,3,0.5,0.996,0.968,0.99,66.4330670444257
"327",0.6,250,250,3,0.5,0.982,0.96,0.904,61.0308721940579
"328",0.9,250,250,3,0.5,0.846,0.886,0.748,56.0557114761799
"329",0,500,250,3,0.5,1,1,1,45.1629131020808
"330",0.3,500,250,3,0.5,1,1,0.992,45.9153381932787
"331",0.6,500,250,3,0.5,1,1,0.988,41.0823083539213
"332",0.9,500,250,3,0.5,0.962,0.966,0.974,22.5119986521983
"333",0,1000,250,3,0.5,1,1,1,10.7151941275858
"334",0.3,1000,250,3,0.5,1,1,0.998,12.3977166381962
"335",0.6,1000,250,3,0.5,1,1,0.988,11.1307814496287
